timestamp,value
2025-06-22 12:27:05,0.92
2025-06-22 12:27:13,0.89
2025-06-22 12:27:20,0.89
2025-06-22 12:27:26,0.89
2025-06-22 12:27:31,0.89
2025-06-22 12:27:36,0.89
2025-06-22 12:27:41,0.91
2025-06-22 12:27:48,0.89
2025-06-22 12:27:53,0.89
2025-06-22 12:28:01,0.88
2025-06-22 12:28:07,0.89
2025-06-22 12:28:12,0.86
2025-06-22 12:28:17,0.88
2025-06-22 12:28:22,0.89
2025-06-22 12:28:27,0.89
2025-06-22 12:28:32,0.89
2025-06-22 12:28:38,0.88
2025-06-22 12:28:43,0.89
2025-06-22 12:28:48,0.89
2025-06-22 12:28:53,0.88
2025-06-22 12:28:59,0.88
2025-06-22 12:29:04,0.88
2025-06-22 12:29:09,0.89
2025-06-22 12:29:14,0.88
2025-06-22 12:29:19,0.88
2025-06-22 12:29:24,0.88
2025-06-22 12:29:29,0.88
2025-06-22 12:29:35,0.89
2025-06-22 12:29:40,0.88
2025-06-22 12:29:45,0.87
2025-06-22 12:29:51,0.88
2025-06-22 12:29:56,0.94
2025-06-22 12:30:01,0.87
2025-06-22 12:30:06,0.87
2025-06-22 12:30:12,0.87
2025-06-22 12:30:17,0.87
2025-06-22 12:30:22,0.87
2025-06-22 12:30:27,0.86
2025-06-22 12:30:32,0.87
2025-06-22 12:30:37,0.86
2025-06-22 12:30:43,0.87
2025-06-22 12:30:48,0.87
2025-06-22 12:30:53,0.86
2025-06-22 12:30:58,0.86
2025-06-22 12:31:03,0.86
2025-06-22 12:31:08,0.86
2025-06-22 12:31:13,0.86
2025-06-22 12:31:18,0.86
2025-06-22 12:31:23,0.86
2025-06-22 12:31:28,0.86
2025-06-22 12:31:34,0.87
2025-06-22 12:31:39,0.86
2025-06-22 12:31:44,0.86
2025-06-22 12:31:49,0.86
2025-06-22 12:31:54,0.86
2025-06-22 12:31:59,0.84
2025-06-22 12:32:04,0.86
2025-06-22 12:32:12,0.86
2025-06-22 12:32:17,0.86
2025-06-22 12:32:22,0.86
2025-06-22 12:32:27,0.86
2025-06-22 12:32:32,0.85
2025-06-22 12:32:38,0.86
2025-06-22 12:32:43,0.85
2025-06-22 12:32:48,0.85
2025-06-22 12:32:53,0.86
2025-06-22 12:32:58,0.85
2025-06-22 12:33:03,0.85
2025-06-22 12:33:08,0.85
2025-06-22 12:33:13,0.86
2025-06-22 12:33:19,0.85
2025-06-22 12:33:24,0.85
2025-06-22 12:33:29,0.85
2025-06-22 12:33:34,0.85
2025-06-22 12:33:39,0.75
2025-06-22 12:33:44,0.85
2025-06-22 12:33:49,0.85
2025-06-22 12:33:54,0.85
2025-06-22 12:34:00,0.86
2025-06-22 12:34:05,0.86
2025-06-22 12:34:10,0.86
2025-06-22 12:34:15,0.84
2025-06-22 12:34:20,0.84
2025-06-22 12:34:25,0.84
2025-06-22 12:34:30,0.84
2025-06-22 12:34:35,0.82
2025-06-22 12:34:43,0.84
2025-06-22 12:34:48,0.86
2025-06-22 12:34:53,0.84
2025-06-22 12:34:58,0.84
2025-06-22 12:35:07,0.83
2025-06-22 12:35:12,0.84
2025-06-22 12:35:17,0.83
2025-06-22 12:35:24,0.84
2025-06-22 12:35:29,0.83
2025-06-22 12:35:34,0.83
2025-06-22 12:35:39,0.84
2025-06-22 12:35:44,0.84
2025-06-22 12:35:49,0.84
2025-06-22 12:35:55,0.83
2025-06-22 12:36:00,0.83
2025-06-22 12:36:06,0.82
2025-06-22 12:36:14,0.82
2025-06-22 12:36:19,0.82
2025-06-22 12:36:24,0.83
2025-06-22 12:36:29,0.82
2025-06-22 12:36:34,0.82
2025-06-22 12:36:39,0.75
2025-06-22 12:36:45,0.83
2025-06-22 12:36:50,0.82
2025-06-22 12:36:55,0.82
2025-06-22 12:37:00,0.82
2025-06-22 12:37:05,0.82
2025-06-22 12:37:10,0.82
2025-06-22 12:37:15,0.8
2025-06-22 12:37:21,0.82
2025-06-22 12:37:26,0.82
2025-06-22 12:37:31,0.82
2025-06-22 12:37:39,0.82
2025-06-22 12:37:44,0.75
2025-06-22 12:37:49,0.89
2025-06-22 12:37:54,0.82
2025-06-22 12:37:59,0.82
2025-06-22 12:38:04,0.82
2025-06-22 12:38:09,0.81
2025-06-22 12:38:14,0.81
2025-06-22 12:38:20,0.81
2025-06-22 12:38:25,0.81
2025-06-22 12:38:30,0.81
2025-06-22 12:38:35,0.81
2025-06-22 12:38:40,0.81
2025-06-22 12:38:45,0.81
2025-06-22 12:38:51,0.81
2025-06-22 12:38:56,0.81
2025-06-22 12:39:01,0.81
2025-06-22 12:39:06,0.81
2025-06-22 12:39:11,0.81
2025-06-22 12:39:16,0.81
2025-06-22 12:39:21,0.72
2025-06-22 12:39:26,0.82
2025-06-22 12:39:32,0.81
2025-06-22 12:39:37,0.81
2025-06-22 12:39:42,0.8
2025-06-22 12:39:47,0.81
2025-06-22 12:39:52,0.81
2025-06-22 12:39:57,0.92
2025-06-22 12:40:02,0.81
2025-06-22 12:40:07,0.82
2025-06-22 12:40:12,0.81
2025-06-22 12:40:19,0.81
2025-06-22 12:40:25,0.81
2025-06-22 12:40:30,0.8
2025-06-22 12:40:35,0.82
2025-06-22 12:40:40,0.81
2025-06-22 12:40:45,0.81
2025-06-22 12:40:50,0.8
