timestamp,value
2025-06-22 12:18:06,0.94
2025-06-22 12:18:11,0.94
2025-06-22 12:18:16,0.94
2025-06-22 12:18:21,0.94
2025-06-22 12:18:27,0.94
2025-06-22 12:18:32,0.88
2025-06-22 12:18:37,0.94
2025-06-22 12:18:42,0.95
2025-06-22 12:18:47,0.94
2025-06-22 12:18:52,0.94
2025-06-22 12:19:00,0.94
2025-06-22 12:19:05,0.93
2025-06-22 12:19:10,0.93
2025-06-22 12:19:15,0.93
2025-06-22 12:19:20,0.93
2025-06-22 12:19:26,0.94
2025-06-22 12:19:31,0.94
2025-06-22 12:19:36,0.94
2025-06-22 12:19:41,0.93
2025-06-22 12:19:46,0.94
2025-06-22 12:19:52,0.93
2025-06-22 12:19:57,0.94
2025-06-22 12:20:05,0.93
2025-06-22 12:20:10,0.93
2025-06-22 12:20:15,0.92
2025-06-22 12:20:20,0.93
2025-06-22 12:20:25,0.93
2025-06-22 12:20:31,0.93
2025-06-22 12:20:36,0.92
2025-06-22 12:20:41,0.86
2025-06-22 12:20:46,0.88
2025-06-22 12:20:51,0.89
2025-06-22 12:20:56,0.89
2025-06-22 12:21:01,0.92
2025-06-22 12:21:06,0.92
2025-06-22 12:21:12,0.93
2025-06-22 12:21:17,0.94
2025-06-22 12:21:22,0.95
2025-06-22 12:21:27,0.95
2025-06-22 12:21:32,0.95
2025-06-22 12:21:37,0.95
2025-06-22 12:21:42,0.95
2025-06-22 12:21:47,0.95
2025-06-22 12:21:52,0.94
2025-06-22 12:21:58,0.95
2025-06-22 12:22:03,0.95
2025-06-22 12:22:08,0.95
2025-06-22 12:22:13,0.98
2025-06-22 12:22:18,0.98
2025-06-22 12:22:26,0.99
2025-06-22 12:22:31,0.97
2025-06-22 12:22:36,0.95
2025-06-22 12:22:41,0.95
2025-06-22 12:22:47,0.94
2025-06-22 12:22:52,0.94
2025-06-22 12:22:57,0.94
2025-06-22 12:23:02,0.94
2025-06-22 12:23:07,0.93
2025-06-22 12:23:12,0.94
2025-06-22 12:23:18,0.94
2025-06-22 12:23:23,0.94
2025-06-22 12:23:28,0.93
2025-06-22 12:23:33,0.93
2025-06-22 12:23:41,0.93
2025-06-22 12:23:49,0.92
2025-06-22 12:23:57,0.93
2025-06-22 12:24:02,0.93
2025-06-22 12:24:07,0.93
2025-06-22 12:24:12,0.92
2025-06-22 12:24:17,0.92
2025-06-22 12:24:22,0.92
2025-06-22 12:24:27,0.92
2025-06-22 12:24:33,0.92
2025-06-22 12:24:38,0.92
2025-06-22 12:24:43,0.92
2025-06-22 12:24:48,0.92
2025-06-22 12:24:53,0.91
2025-06-22 12:24:58,0.92
2025-06-22 12:25:03,0.92
2025-06-22 12:25:08,0.92
2025-06-22 12:25:13,0.91
2025-06-22 12:25:19,0.78
2025-06-22 12:25:24,0.91
2025-06-22 12:25:29,0.91
2025-06-22 12:25:34,0.91
2025-06-22 12:25:42,0.91
2025-06-22 12:25:47,0.92
2025-06-22 12:25:52,0.91
2025-06-22 12:25:57,0.9
2025-06-22 12:26:03,0.91
2025-06-22 12:26:08,0.91
2025-06-22 12:26:13,0.91
2025-06-22 12:26:18,0.9
2025-06-22 12:26:24,0.9
2025-06-22 12:26:29,0.9
2025-06-22 12:26:34,0.9
2025-06-22 12:26:39,0.91
2025-06-22 12:26:44,0.9
2025-06-22 12:26:50,0.9
2025-06-22 12:26:55,0.9
2025-06-22 12:27:00,0.89
